name,roaster,roast,loc_country,origin,centg_USD,rating,review_date,review,name_extended,roaster_extended,roast_extended,loc_country_extended,origin_1_extended,origin_2_extended,centg_USD_extended,rating_extended,review_date_extended,desc_extended
Ethiopia Sidamo Euphora Special Lot,Euphora Coffee,Medium-Light,Taiwan,Ethiopia,4.41,93,May-21,"Brightly sweet, richly tart. Rose hips, dried nectarine, frangipane, cedar, agave syrup in aroma and cup. Tart-leaning structure with pert acidity",Colombia Finca Las Margaritas Natural Sudan Rume,modcup coffee,Medium-Light,United States,Valle Del Cauca Growing Region,Colombia,17.64,94,May-20,"Sweetly fermenty, wine-toned. Lychee, dried raspberry, grappa, dark chocolate fudge, lily in aroma and cup. Sweetly tart structure with crisp, citrusy acidity"
Finca Lerida Gesha Natural,Thanksgiving Coffee Company,Medium-Light,United States,Panama,13.23,92,May-21,"Richly sweet, floral-toned. Magnolia, date, almond, caramel, fresh-cut cedar in aroma and cup. Sweet structure with gentle, round acidity",Ecuador Finca Carolina Sidra,Paradise Roasters,Medium-Light,United States,Pinchincha,Ecuador,8.8,94,May-20,"Delicate, floral, richly spice-toned. Ginger blossom, cocoa nib, bergamot, molasses, a hint of cardamom in aroma and cup. Sweetly savory structure with juicy, citrusy acidity"
Ethiopia Guji Uraga Yabitu,Sunny's Coffee,Light,Japan,Ethiopia,9.22,92,May-21,"Citrusy and sweetly herbaceous, cocoa-toned. Cocoa nib, marjoram, pink grapefruit zest, nougat, cedar in aroma and cup. Sweetly savory with juicy acidity",Ethiopia Konga,The WestBean Coffee Roasters,Medium,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,93,May-20,"Crisply sweet, floral- and fruit-toned. Peach, narcissus, almond butter, nougat, cedar in aroma and cup. In structure sweetly and gently tart, with a balanced and roundly bright acidity. Satiny, lively mouthfeel. Peach and flowers linger in the finish."
Ethiopia Guji Hambela Dabaye,Sunny's Coffee,Light,Japan,Ethiopia,9.22,91,May-21,"Gently fruit-toned, sweetly tart. Plum, cocoa nib, lemon verbena, oak, maple syrup in aroma and cup. Crisp, high-toned with juicy acidity",Gesha Village Single-Variety Gesha Special Selection,Plat Coffee Roastery,Medium-Light,Hong Kong,Bench-Maji Zone,Southern Ethiopia,13.23,94,May-20,"Deeply rich, balanced, fruit- and floral-toned. Tea rose, pomelo, dark chocolate, pie cherry, fresh-cut oak in aroma and cup. Sweet-tart structure with round, fruit-toned acidity"
Ethiopia Dry-Process Guji Hambela,Sunny's Coffee,Light,Japan,Ethiopia,9.22,90,May-21,"Balanced, delicate, floral-toned. Dogwood flowers, baking chocolate, apricot, cedar, agave syrup in aroma and cup. Sweet-toned with balanced acidity",DR Congo Muungano,Cafe Grumpy,Medium-Light,United States,South Kivu,Democratic Republic Of The Congo,5.88,93,May-20,"Richly sweet-tart, earth-toned. Blood orange, pipe tobacco, roasted almond, rhododendron, baking chocolate in aroma and cup. Tart-leaning structure with crisp, green-apple-like (malic) acidity"
Ethiopia Dry-Process Benti Nenka,Sunny's Coffee,Light,Japan,Ethiopia,9.22,90,May-21,"Delicate, crisply sweet. Prairie flowers, fresh-cut fir, almond, orange zest, date in aroma and cup. Sweet-tart structure with brisk acidity",Colombian,Durango Coffee Company,Medium-Light,United States,Valle De Cauca,Colombia,5.86,93,May-20,"Bold, rich, confident. Strawberry, magnolia, baking chocolate, fresh-cut fir, maple syrup in aroma and cup. Deeply sweet structure with brisk acidity"
Kona Maragogype Natural,Paradise Roasters,Medium-Light,United States,Hawai'I,26.41,94,April 2021,"Deeply and richly sweet, resonantly aromatic. Dried mango, wild honey, lilac, pistachio, tangerine zest in aroma and cup. Juicy-sweet structure with refined acidity",Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,NariÃ±o,Colombia,5.58,93,June 2020,"Cocoa-toned, crisply sweet. Cocoa powder, hazelnut butter, pear, cedar, agave syrup in aroma and cup. Sweet in structure with brisk acidity"
Colombia Jorge Eli Dussan,Amavida Coffee Roasters,Medium-Light,United States,Colombia,5.88,93,April 2021,"Chocolaty and deep-toned. Date, baking chocolate, hazelnut butter, honeysuckle, cedar in aroma and cup. Vibrantly sweet, resonant acidity",Ethiopia BergWu SP Series: Wuri Red Cherries 19/EXP02,Vennel Coffee,Medium,Taiwan,Gedeb District,Gedeo Zone,8.46,92,June 2020,"Deeply sweet, fruit-forward. Grape candy, dark chocolate, grappa barrel, fresh-cut fir, gardenia in aroma and cup. Sweet-tart structure with gentle acidity"
Ethiopia Kochere G1,David's Nose,Medium-Light,Taiwan,Ethiopia,5.66,93,April 2021,"Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, pink grapefruit zest, almond butter, lilac in aroma and cup. Deeply sweet structure with brisk acidity",Kenya AB Top,De Clieu Coffee,Medium-Light,Taiwan,Kenya,Gedeb District,5.66,93,June 2020,"Pungent, sweetly tart. Dark chocolate, black currant, lemon blossom, molasses, oak in aroma and cup. Vibrantly sweet-tart in structure"
Ethiopia Limu Washed,Jade Cafe,Light,Taiwan,Ethiopia,8.53,93,April 2021,"Delicately sweet-tart. Apricot, cocoa nib, hazelnut, Meyer lemon zest, hyacinth in aroma and cup. Sweetly tart structure with vibrant, citrusy acidity",Kaâ€™u Giant Maragogipe,Big Island Coffee Roasters,Medium-Light,Hawai'i,Kaâ€™U Growing Region,Big Island Of Hawai'I,12.35,94,June 2020,"Deep-toned, sweet-savory. Nectarine, narcissus, hop flowers, sandalwood, honey in aroma and cup. Richly sweet structure with gentle, round but engaging acidity"
Colombia Huila Acevedo El Paraiso,Big Shoulders Coffee ,Medium-Light,United States,Colombia,7.35,94,May-21,"Bright, juicy, fruit-toned. Lychee, plum blossom, Meyer lemon zest, sandalwood, nougat in aroma and cup. Sweetly tart structure with vibrant acidity",Wood Valley Single Estate Kaâ€™u,Big Island Coffee Roasters,Medium-Light,Hawai'i,Kaâ€™U Growing Region,Big Island Of Hawai'I,10.58,93,June 2020,"Richly floral- and nut-toned. Freesia-like flowers, almond brittle, baking chocolate, black cherry, fresh-cut oak in aroma and cup. Deeply sweet structure with tart, lively acidity"
Ethiopia Guji Wush Wush Anaerobic Natural,Coffee Please,Medium-Light,Taiwan,Ethiopia,7.89,95,May-21,"Delicately bright, balanced, crisply sweet. Bing cherry, cocoa nib, lemon yogurt, lavender, fresh-cut oak in aroma and cup. Sweetly tangy with gently lactic, savory-edged acidity",Kona Maragogype,Rusty's Hawaiian,Medium,Hawai'i,Kona Growing Region,Big Island Of Hawai'I,17.64,93,June 2020,"Deep-toned, richly sweet-savory. Dark chocolate, hop flowers, lychee, sandalwood, almond brittle in aroma and cup. Sweet-savory structure with round, gentle acidity"
Ethiopia Guji Wush Wush,Paradise Roasters,Medium-Light,United States,Ethiopia,7.33,95,May-21,"Juicy, bright, confidently fruit- and floral-toned. Candy cap mushroom, dark chocolate, kefir, plumeria, mesquite in aroma and cup. Tangy-sweet structure with lactic-toned acidity",Organic Ethiopia Agaro-Nano Challa,Paradise Roasters,Medium-Light,United States,Agaro Gera,Jimma Zone,6.75,94,June 2020,"Delicately sweet, high-toned, citrusy. Key lime, cocoa nib, strawberry, freesia-like flowers, cedar in aroma and cup. Sweetly tart structure with juicy, vibrant acidity"
Tres Dragones Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,7.35,94,May-21,"Pungently sweet-savory, deep, expressive. Dark chocolate, dried mango, fine musk, rum barrel, honeysuckle in aroma and cup. Richly sweet-savory structure with roundly tart acidity",Kerinci Palompek Sumatra,JBC Coffee Roasters,Medium-Light,United States,Jambi Province,Sumatra,5.23,94,June 2020,"Deeply aromatic, complex, multi-layered. Star jasmine, petrichor, almond nougat, sandalwood, white peach in aroma and cup. Sweet-savory structure with bold, juicy acidity"
Panama Elida Estate CatuaÃ­ Natural ASD,Willoughby's Coffee & Tea,Medium-Light,United States,Panama,7.27,94,May-21,"Lactic, chocolaty, sweetly tart. Young goat cheese, dark chocolate, roasted pine nut, persimmon, fresh-cut cedar in aroma and cup. Tart-sweet structure with deeply tangy, lactic acidity",Guatemala Vista Al Bosque,Oak & Bond Coffee Company,Medium,United States,Huehuetenango,Guatemala,5.58,93,June 2020,"Chocolaty, floral-toned. Dark chocolate, rhododendron-like flowers, hazelnut butter, date, cedar in aroma and cup. Sweet in structure with gentle, round acidity"
Ethiopia Guji Natural Anaerobic Wush Wush G1,De Clieu Coffee,Medium-Light,Taiwan,Ethiopia,9.2,93,May-21,"Earth-toned, richly sweet-savory. Moist cedar, breadfruit, magnolia, cocoa powder, musk. Savory-leaning with sweetly brisk acidity",Session Blend,Oak & Bond Coffee Company,Medium-Light,United States,Guatemala,Ethiopia,5.14,92,June 2020,"Crisply sweet, bright and lively. Baking chocolate, orange zest, golden raisin, gardenia, molasses in aroma and cup. Bittersweet structure with brisk acidity"
Elida Natural ASD (Panama),Geisha Coffee Roaster,Medium-Light,United States,Panama,3.25,93,May-21,"Rich, deep, resoundingly lactic and pungent. Distinct dark chocolate, blue cheese, lily-like flowers, vanilla, pipe tobacco. Savory sweet structure",Peaberry Medium Roast,Hala Tree Kona Coffee,Medium,Hawai'i,North Kona Growing District,â€œBig Islandâ€ Of Hawaii,13.23,92,June 2020,"Rich-toned, chocolaty and floral. Baking chocolate, magnolia, agave syrup, hazelnut butter, cedar in aroma and cup. Sweet structure with gentle, round acidity"
Ethiopia Oromia Anaerobic Natural,Nine Point Coffee,Medium,Taiwan,Ethiopia,7.11,93,May-21,"Roasty-sweet, floral-toned. Golden raisin, gently scorched cedar, dark chocolate, freesia-like flowers, molasses in aroma and cup. Crisply sweet structure with brisk acidity",Loverâ€™s Quarrel,Mooju Coffee,Medium,United States,Bali,Indonesia,4.41,85,June 2020,"Crisply sweet, chocolaty. Dark chocolate, smoky cedar, prune, gardenia, cashew in aroma and cup. Bittersweet structure with virtually no perceptible acidity"
Castillo El Paraiso,Steady State Roasting,Medium-Light,United States,Colombia,8.82,93,May-21,"Intensely fruit-forward, high-toned. Passion fruit, cocoa nib, mango custard, oak, a hint of thyme in aroma and cup. Crisply tart-leaning structure with citrusy acidity",Kenya Embu Gicherori Factory AA Top,GK Coffee,Medium-Light,Taiwan,Embu County,Kenya,9.28,95,June 2020,"Sweetly and roundly bright, high-toned, floral. Star jasmine, tangerine zest, red currant, elm, a hint of coriander in aroma and cup. Sweetly tart structure with vibrant, juicy acidity"
Kenya Nyeri Gachatha Washed AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,94,June 2021,"Sweetly spice-toned, floral. Wisteria, dark chocolate, black currant, marjoram, pink grapefruit zest in aroma and cup. Sweetly rich, tart structure with vibrant acidity",9 Bar,Fidalgo Coffee,Medium-Light,United States,Ethiopia,Guatemala,4.7,92,June 2020,"Sweetly bright, deeply floral. Carnation, caramel, orange zest, pecan, golden raisin in aroma and cup. Sweet-toned structure with brisk, lightly juicy acidity"
Ethiopia Yirgacheffe G1 Mulugeta Tsige,GK Coffee,Medium-Light,Taiwan,Ethiopia,8,95,June 2021,"Lyrically sweet, gently herb-toned, very complex. Bergamot, star jasmine, cocoa nib, sandalwood, marjoram in aroma and cup. Sweet-tart structure with high-toned, juicy acidity",Colombia Huila Los Lagos Washed Geisha,Kakalove Cafe,Medium-Light,Taiwan,Huila,Colombia,6.37,92,June 2020,"Richly floral-toned. Baking chocolate, jasmine, tea rose, golden raisin, sandalwood in aroma and cup. Sweet in structure with brisk acidity"
Kenya AA Top Gathambi Station,GK Coffee,Medium-Light,Taiwan,Kenya,8.8,94,June 2021,"Deep-toned, richly sweet-savory. Tamarind, hop flowers, brown sugar, cedar, lemon verbena in aroma and cup. Balanced, bittersweet structure with bright, lively acidity",Coffea Diversa Liberica Carbonic Maceration,Paradise Roasters,Light,United States,Biollet,Costa Rica,5.86,93,June 2020,Very sweet
Ethiopia Uraga Washed G1,RamsHead Coffee Roasters,Medium-Light,United States,Ethiopia,5.28,94,May-21,"Juicy, bright, intricately balanced. Apricot, cocoa nib, jasmine, maple syrup, almond butter in aroma and cup. Crisply sweet-tart with bright, citrusy acidity",Ethiopia Nano Genji #4,JBC Coffee Roasters,Medium-Light,United States,Agaro Gera,Jimma Zone,5.51,93,June 2020,"Richly sweet, floral-toned. Candied violet, almond nougat, maple syrup, date, cocoa nib in aroma and cup. Sweet-toned structure with gentle, round acidity"
Ethiopia Sidamo Natural Water Decaf,Jackrabbit Java,Medium-Light,United States,Ethiopia,4.12,91,May-21,"Deep-toned, chocolaty. Baking chocolate, date, almond butter, fresh-cut oak, agave syrup in aroma and cup. Sweet-toned structure with gentle, round acidity",Red Bourbon Washed,Hala Tree Kona Coffee,Medium-Light,Hawai'i,North Kona Growing District,â€œBig Islandâ€ Of Hawaii,14.55,93,June 2020,"Sweet, balanced, floral-toned. Jasmine, peach, pistachio, cardamom, cocoa nib in aroma and cup. Deeply sweet structure with savory undertones"
Kenya Karindudu AA,Big Shoulders Coffee,Medium-Light,United States,Kenya,6.47,95,May-21,"Deep-toned, floral and chocolaty. Dark chocolate, honeysuckle, tamarind, mulberry, fresh-cut oak in aroma and cup. Sweet-savory structure with gentle, rounded but vibrant acidity",Typica Natural,Hala Tree Kona Coffee,Medium,Hawai'i,Captain Cook,North Kona Growing District,14.55,92,June 2020,"Deeply sweet, pleasantly herb-toned. Baking chocolate, spearmint, maple syrup, freesia, hazelnut in aroma and cup. Richly bittersweet structure with brisk acidity"
Ethiopia Guji Anaerobic,Big Shoulders Coffee,Medium-Light,United States,Ethiopia,7.35,94,May-21,"Tropical fruit-driven, resonantly aromatic. Lychee, guava, cocoa nib, freesia-like flowers, cedar in aroma and cup. Sweet-tart structure with high-toned acidity",Finca Kusillo Bolivia,Corvus Coffee Roasters,Medium-Light,United States,Caranavi,Bolivia,5.88,93,May-20,"Deeply sweet, floral-toned. Violet, pineapple, pistachio, baking chocolate, oak in aroma and cup. Roundly sweet structure with gently tart, delicate acidity"
Maypop,Lina Premium Coffee,Medium-Light,United States,Colombia,7.35,94,May-21,"High-toned, juicy-bright. Pineapple, cocoa nib, lemon verbena, myrrh, narcissus in aroma and cup. Sweet-tart structure with bold, balanced acidity",Nano Genji Agaro Gera,Temple Coffee Roasters,Medium,United States,Agaro Gera,Jimma Zone,6.17,94,June 2020,"Deep-toned, fruit-centered, richly aromatic. Dark chocolate, black cherry, star jasmine, oak, almond brittle in aroma and cup. Sweet-tart structure with crisp, lively acidity"
Trivarietal,Lina Premium Coffee,Medium-Light,United States,Colombia,7.28,90,May-21,"Crisply sweet, cocoa toned. Cocoa powder, date, oak, magnolia, hint of cinnamon in aroma and cup. Sweet-toned structure with pert acidity",Sumatra Pantan Musara,Revel Coffee,Medium-Light,United States,Aceh Province,Sumatra,6.17,94,June 2020,"Richly sweet-savory, deeply aromatic. Black currant, cocoa nib, pink peppercorn, lilac, sandalwood in aroma and cup. Sweet-savory structure with high-toned acidity"
La Soledad Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,7.94,94,May-21,"Crisply sweet, complex, cocoa- and floral-toned. Cocoa nib, star jasmine, plum, tangerine zest, agave syrup in aroma and cup. Vibrantly sweet structure with juicy-bright acidity",Quadratic Wizard Blend,Rhetoric Coffee,Medium,United States,Brazil,Colombia,4.7,93,June 2020,"Deep-toned, cocoa- and fruit-driven. Nectarine, cocoa powder, cashew butter, lily, agave syrup in aroma and cup. Sweet in structure with gentle, round acidity"
Natural Mexico Ixhuatlan del Cafe,Ming's Coffee Playroom,Light,Taiwan,Mexico,6.4,93,May-21,"Vibrant, gently fruit-toned. Dried apricot, lemon drop, freesia-like flowers, oak, honey in aroma and cup. Sweetly tart structure with brisk acidity",Colombia NariÃ±o,Revel Coffee,Medium-Light,United States,NariÃ±o Department,Southern Colombia,5,93,June 2020,"Deeply and richly sweet, quite chocolaty. Dark chocolate, red grape, magnolia, maple syrup, oak in aroma and cup. Sweet-toned structure with bright, lively acidity"
Nicaragua Yellow Pacamara Natural,Paradise Roasters,Light,United States,Nicaragua,26.41,94,June 2021,"Richly sweet-tart, fruit-driven. Dried apricot, almond nougat, clove, freesia-like flowers, lemon verbena in aroma and cup. Sweet-toned structure with complex tart and savory undertones and juicy, bright acidity",Honey Peru Huabal,Amavida Coffee Roasters,Medium-Light,United States,Huabal,Peru,5.88,93,June 2020,"Deeply sweet, gently and cleanly fruit-toned. Dried apricot, baking chocolate, lemon verbena, maple syrup, cedar in aroma and cup. Sweet in structure with gentle, round acidity"
Ethiopia West Arsi Nensebo Natural G1,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Ethiopia,7.05,95,June 2021,"Delicately berry-toned with savory impulses. Dried strawberry, honey, star jasmine, fresh-cut cedar, macadamia nut in aroma and cup. Sweet-savory structure with vibrant, lively acidity",Kitten Q Espresso Blend,Kakalove Cafe,Medium,Taiwan,Ethiopia,Nicaragua,3.19,93,June 2020,"Evaluated as espresso. Deep-toned, richly chocolaty. Chocolate fudge, dried cherry, almond brittle, gardenia, lemon verbena in aroma and small cup. Crisp, satiny mouthfeel"
Ethiopia Sidama Bona Sweet Natural,Pro Aroma Enterprise Coffee,Light,Taiwan,Ethiopia,5.88,94,June 2021,"Brightly sweet-tart, fruit-toned. Mango, sandalwood, toffee, cocoa nib, spicy freesia-like flowers in aroma and cup. Tart-leaning structure with crisp, high-toned acidity",Hoytâ€™s Crossing,Rhetoric Coffee,Medium,United States,El Salvador,Peru,3.97,92,June 2020,"Richly chocolaty, deeply sweet. Dark chocolate, freesia-like flowers, crisp pear, vanilla bean, cedar in aroma and cup. Sweet in structure with gentle acidity"
Congo Square,Three Keys Coffee,Medium-Light,United States,Democratic Republic Of The Congo,5.88,94,June 2021,"High-toned, resinously nutty, intensely sweet. Wild honey, plum, magnolia, mesquite, pistachio in aroma and cup. Sweet-tart structure with savory-leaning acidity",Peru Elvis Rafael Single-Origin Espresso,Temple Coffee Roasters,Medium,United States,El Diamante,JaÃ©n,5.58,92,June 2020,"Evaluated as espresso. Deeply chocolaty, balanced, roast-rounded. Dark chocolate, nectarine, molasses, gently scorched cedar, rhododendron in aroma and small cup. Full, satiny mouthfeel"
Burundi Mikuba Honey Microlot 1,Olympia Coffee,Light,United States,Burundi,6.61,93,June 2021,"Deeply sweet, round, balanced. Apricot, baking chocolate, freesia-like flowers, cedar, maple syrup in aroma and cup. Crisply sweet structure with quietly lively acidity",Black Dragon Dark Roast,Rhetoric Coffee,Medium,United States,Brazil,Costa Rica,2.94,90,June 2020,"Deep, rich-toned, sweetly smoky. Mexican chocolate (dark chocolate and cinnamon), gently scorched mesquite, raisin, gardenia, roasted hazelnut in aroma and cup. Bittersweet structure with barely perceptible acidity"
Rwanda Simbi,Mamechamame Coffee,Light,Japan,Rwanda,7.56,93,June 2021,"Balanced, elegant, gently stated. Cocoa nib, pomegranate, fresh-tanned leather, wisteria, cashew in aroma and cup. Savory-leaning structure with tart underpinnings and brisk acidity",Kona Classic Black Rock Farm,Paradise Roasters,Medium,United States,Kona,Big Island Of Hawaiâ€™I,16.71,94,June 2020,"Deep-toned, chocolaty and rich. Dark chocolate, strawberry guava, hazelnut butter, sandalwood, ginger blossom in aroma and cup. Sweet-toned structure with round, engaging acidity"
Burundi Kinyovu,Valverde Coffee Roasters,Medium,United States,Burundi,5.64,92,June 2021,"Sweetly roast-toned, chocolaty. Dark chocolate, lily, vanilla, dried fig, scorched cedar in aroma and cup. Bittersweet-savory structure",Ethiopian Yirgacheffe Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.88,94,June 2020,"Fruit-toned, sweetly tart. Ripe raspberry, lemon zest, dark chocolate, cedar, magnolia in aroma and cup. Tart-leaning structure with juicy acidity"
Ethiopia Washed Sidama Nafasha 74158 21/01,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.11,96,June 2021,"Lyrically sweet, intriguing tart, complexly savory. Mulberry, sage, bergamot, frankincense, apple blossom in aroma and cup. High-toned structure with delicately bright, multi-layered acidity",Colombia Cauca Atâ€™e,States Coffee & Mercantile,Medium-Light,United States,PaÃ©z,Cauca Department,5.29,94,June 2020,"High-toned, richly sweet, delicately tart. Apple blossom, pomegranate, toffee, narcissus, cedar in aroma and cup. Sweet-tart structure with juicy, vibrant acidity"
Taiwan Natural Alishan TFUâ€™YA Kakalove Lot,Kakalove Cafe,Medium-Light,Taiwan,Taiwan,19.82,95,June 2021,Richly berry and citrus-toned,Sumatra Pantan Musara,Paradise Roasters,Medium-Light,United States,Pantan Musara,Gayo,7.33,94,June 2020,"Richly sweet, complex, multi-layered. Mango, ginseng, cocoa nib, grapefruit marmalade, honeysuckle in aroma and cup. Sweetly tart structure with high-toned, juicy acidity"
Ethiopia Natural Guji Blue Donkey 21/01,Kakalove Cafe,Light,Taiwan,Ethiopia,4.6,95,June 2021,"Deep, rich, berry-driven. Raspberry coulis, wild honey, star jasmine, marzipan, sandalwood in aroma and cup. Sweetly tart structure with bright, crisp acidity",Sumatra Gayo G1 Triple-Picked Lot 005,Kakalove Cafe,Medium-Light,Taiwan,Aceh Province,Sumatra,3.19,94,June 2020,"Sweetly earth-toned, deeply floral. Petrichor, honeysuckle, Dark chocolate, petrichor, honeysuckle, nectarine, fine pipe tobacco in aroma and cup. Sweet-savory structure with vibrant, juicy acidity"
Gigesa Natural,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,95,July 2021,"Richly berry-toned, sweetly herbaceous. Raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. Sweet structure with vibrant acidity",Guatemala Guayaâ€™B Coop,States Coffee & Mercantile,Medium-Light,United States,Huehuetenango,Guatemala,5.29,92,June 2020,"Delicate, sweet, citrus-toned. Cocoa nib, tangerine zest, almond, freesia-like flowers, apricot in aroma and cup. Sweet in structure with pert acidity"
Baby Dragons,Nostalgia Coffee Roasters,Medium-Light,United States,Colombia,8.23,94,July 2021,"Juicy-sweet, fruit-driven. Lychee, tea rose, sandalwood, cashew, chocolate fudge in aroma and cup. Richly bittersweet structure with juicy, bright acidity",Kakalove Taiwan Natural SL34 Alishan Ching-Ye Farm,Kakalove Cafe,Medium-Light,Taiwan,Alishan,Chia-Yi City,11.33,92,June 2020,"Delicate, fruit-forward. Blueberry, molasses, fresh-cut fir, magnolia, bay leaf in aroma and cup. Sweet structure with tart-leaning, gentle acidity. Velvety mouthfeel. The crisp finish centers around blueberry and fir."
Colombia Lagoon Java Anaerobic,Big Shoulders Coffee,Medium-Light,United States,Colombia,7.35,93,July 2021,"Fruit-forward, high-toned. Pink grapefruit zest, rhododendron, baking chocolate, agave syrup, freesia in aroma and cup. Sweet-toned structure with brisk acidity",Nano Genji #4 Espresso,JBC Coffee Roasters,Medium-Light,United States,Agaro Gera,Jimma Zone,5.51,96,June 2020,"Evaluated as espresso. Expressive, confident, lyrical. Lychee, dark chocolate, star jasmine, sandalwood, Meyer lemon in aroma and small cup. Lively, creamy mouthfeel"
Colombia La Palma y El Tucan,Le Brewlife,Medium-Light,Taiwan,Colombia,10.67,93,July 2021,"Deeply sweet, fruit-toned. Watermelon candy, dark chocolate, a whiff of Bourbon barrel, fresh-cut fir, gardenia in aroma and cup. Sweet-tart structure with gentle acidity",Ignacio Quintero Colombia,JBC Coffee Roasters,Medium-Light,United States,Inza,Cauca Department,5.29,95,June 2020,"Elegant, bright, rich-toned. Cocoa nib, ginger blossom, plum, pink peppercorn, almond butter in aroma and cup. Deeply sweet structure with vibrant acidity"
Ethiopia Wush Wush G1,Le Brewlife,Light,Taiwan,Ethiopia,13.87,93,July 2021,"Floral and richly fruit-forward. Tea rose, anise, ripe cantaloupe, roasted pecan, marshmallow in aroma and cup. Roundly sweet-savory structure with winy, bright acidity",Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Antigua Growing Region,Guatemala,5,93,June 2020,"Richly sweet, deeply chocolaty. Baking chocolate, crisp pear, orange zest, oak, freesia-like flowers in aroma and cup. Sweet structure with pert acidity"
Kona Maragogype Peaberry Natural,Rustyâ€™s Hawaiian,Medium-Light,Hawai'i,Hawai'I,22.05,95,June 2021,"Richly aromatic, complex, multi-layered. Lychee, lavender, cocoa nib, hazelnut butter, lemon-thyme in aroma and cup. Sweet-savory with lively, juicy acidity",Esmeralda Estate Panama Geisha,Difference Coffee,,England,Boquete Growing Region,Western Panama,111.11,94,June 2020,"Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicate, floral-toned. Honeysuckle, white peach, lime zest, cocoa nib, cedar in aroma and small cup. Silky, buoyant mouthfeel. The elegant finish centers around notes of honeysuckle and lime zest, with cocoa nib lingering into the long. Cappuccino-scaled milk further amplifies floral and chocolate tones."
Ecuador San JosÃ© de Minas Double-Anaerobic,Peach Coffee Roasters,Light,United States,Ecuador,13.23,94,June 2021,"Delicately sweet, richly perfumy. Bergamot, marzipan, lilac, apricot, cocoa nib in aroma and cup. Sweetly tart in structure with very lively, juicy acidity",Honduras Finca La Joya Natural,RamsHead Coffee Roasters,Medium,United States,San Jose,La Paz,4.69,90,July 2020,"Fruit-toned, chocolaty. Dark chocolate, dried raspberry, cedar, molasses, lily in aroma and cup. Sweet-tart structure with mild, accessible acidity"
Colombia Bandida Lactic Natural,Peach Coffee Roasters,Medium-Light,United States,Colombia,8.52,93,June 2021,"Bright, juicy, high-toned. Bing cherry, chocolate fudge, toffee, hop flowers, cedar in aroma and cup. Sweetly savory with vibrant, citrusy acidity",Lone Peak Blend,RamsHead Coffee Roasters,Medium,United States,Brazil,Costa Rica,4.69,90,July 2020,"Deeply sweet, roast-toned. Dark caramel, gently scorched fir, gardenia, date, a hint of cardamom in aroma and cup. Sweet-toned structure with gentle, round acidity"
Nyeri Hill Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,6.03,95,June 2021,"Richly sweet-tart, deeply nuanced. Lychee, pink grapefruit zest, sassafras, cocoa nib, star jasmine in aroma and cup. Deep-toned, balanced structure with lush, juicy acidity",Asfaw Maru Ethiopia Natural Cold Brew,Collage Coffee,,United States,Yirgacheffe Growing Region,Southern Ethiopia,1.32,93,July 2020,"A ready-to-drink black coffee, tested cold. Rhubarb, Pinot Noir grape, cocoa nib, honeysuckle, sandalwood. Sweet-tart-savory structure with big, juicy acidity"
La Perla Chiquita Ecuador,JBC Coffee Roasters,Medium-Light,United States,Ecuador,6.17,95,June 2021,"Evaluated as espresso. Complex, multi-layered, rich-toned. Red plum, dark chocolate, cashew butter, cocoa nib, a hint of rosemary in aroma and small cup. Very syrupy mouthfeel",Ethiopia Nano Challa Cold Brew,Bonfire Coffee Company,,United States,Jimma Zone,Oromia State,1.34,94,July 2020,"A ready-to-drink black coffee, tested cold. Rich, floral-toned, intricate and complex. Notes of wisteria, Keemun black tea, cocoa nib, Meyer lemon, frankincense. Crisp, tart-leaning structure with sweet undertones and juicy acidity"
Pantan Musara Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,5.26,94,June 2021,"Evaluated as espresso. Spice-toned, richly sweet-savory. Baking spices, mulberry, dark caramel, marjoram, narcissus in aroma and small cup. Nectar-like mouthfeel",Brazil Ipanema Black Edition A-41 Red Cherry,GK Coffee,,Taiwan,Ipanema,Brazil,4.27,94,July 2020,"A ready-to-drink black coffee, tested cold. Bing cherry, sassafras, aromatic orchid, bay tree, brandy. Sweet-tart structure with juicy, bright acidity"
